Order 0	number of articles 23
12	Aisle 10	Location 39
13	Aisle 16	Location 17
14	Aisle 0	Location 10
15	Aisle 3	Location 1
16	Aisle 3	Location 37
17	Aisle 9	Location 19
18	Aisle 17	Location 39
19	Aisle 5	Location 25
20	Aisle 0	Location 30
21	Aisle 18	Location 8
22	Aisle 19	Location 41
Order 7	number of articles 8
0	Aisle 7	Location 40
1	Aisle 3	Location 4
2	Aisle 8	Location 26
3	Aisle 6	Location 42
4	Aisle 0	Location 14
5	Aisle 1	Location 12
6	Aisle 10	Location 28
7	Aisle 0	Location 21
Order 8	number of articles 19
0	Aisle 5	Location 39
1	Aisle 8	Location 21
2	Aisle 5	Location 20
3	Aisle 2	Location 25
4	Aisle 19	Location 4
5	Aisle 7	Location 2
6	Aisle 9	Location 12
7	Aisle 5	Location 13
8	Aisle 7	Location 13
9	Aisle 1	Location 10
10	Aisle 8	Location 38
11	Aisle 15	Location 44
12	Aisle 12	Location 34
13	Aisle 6	Location 30
14	Aisle 0	Location 31
15	Aisle 5	Location 33
16	Aisle 0	Location 23
17	Aisle 11	Location 33
18	Aisle 8	Location 23
Order 9	number of articles 9
0	Aisle 6	Location 41
1	Aisle 13	Location 9
2	Aisle 2	Location 44
3	Aisle 12	Location 5
4	Aisle 8	Location 32
5	Aisle 10	Location 30
6	Aisle 16	Location 35
7	Aisle 10	Location 17
8	Aisle 6	Location 13
Order 10	number of articles 11
0	Aisle 6	Location 26
1	Aisle 3	Location 26
2	Aisle 8	Location 18
3	Aisle 13	Location 7
4	Aisle 10	Location 4
5	Aisle 3	Location 4
6	Aisle 5	Location 0
7	Aisle 12	Location 6
8	Aisle 12	Location 8
9	Aisle 14	Location 42
10	Aisle 14	Location 3
Order 11	number of articles 9
0	Aisle 13	Location 6
1	Aisle 13	Location 29
2	Aisle 4	Location 35
3	Aisle 18	Location 38
4	Aisle 17	Location 36
5	Aisle 17	Location 1
6	Aisle 19	Location 28
7	Aisle 18	Location 17
8	Aisle 17	Location 41
Order 12	number of articles 18
0	Aisle 1	Location 26
1	Aisle 2	Location 10
2	Aisle 2	Location 27
3	Aisle 11	Location 25
4	Aisle 9	Location 37
5	Aisle 6	Location 43
6	Aisle 16	Location 33
7	Aisle 19	Location 10
8	Aisle 9	Location 28
9	Aisle 9	Location 11
10	Aisle 8	Location 43
11	Aisle 7	Location 40
12	Aisle 9	Location 22
13	Aisle 15	Location 1
14	Aisle 10	Location 17
15	Aisle 3	Location 23
16	Aisle 18	Location 23
17	Aisle 5	Location 2
Order 13	number of articles 6
0	Aisle 15	Location 8
1	Aisle 1	Location 37
2	Aisle 7	Location 9
3	Aisle 6	Location 38
4	Aisle 2	Location 36
5	Aisle 17	Location 1
Order 14	number of articles 15
0	Aisle 7	Location 31
1	Aisle 11	Location 13
2	Aisle 9	Location 18
3	Aisle 2	Location 23
4	Aisle 8	Location 32
5	Aisle 9	Location 3
6	Aisle 4	Location 32
7	Aisle 1	Location 40
8	Aisle 3	Location 36
9	Aisle 9	Location 1
10	Aisle 15	Location 5
11	Aisle 8	Location 30
12	Aisle 18	Location 8
13	Aisle 9	Location 42
14	Aisle 2	Location 14
Order 15	number of articles 20
0	Aisle 10	Location 16
1	Aisle 7	Location 43
2	Aisle 0	Location 41
3	Aisle 8	Location 8
4	Aisle 15	Location 34
5	Aisle 1	Location 16
6	Aisle 10	Location 34
7	Aisle 16	Location 1
8	Aisle 19	Location 7
9	Aisle 2	Location 5
10	Aisle 18	Location 15
11	Aisle 11	Location 33
12	Aisle 18	Location 37
13	Aisle 13	Location 38
14	Aisle 8	Location 4
15	Aisle 9	Location 8
16	Aisle 5	Location 16
17	Aisle 4	Location 12
18	Aisle 7	Location 4
19	Aisle 10	Location 43
Order 16	number of articles 19
0	Aisle 7	Location 20
1	Aisle 10	Location 30
2	Aisle 18	Location 4
3	Aisle 10	Location 20
4	Aisle 14	Location 32
5	Aisle 10	Location 39
6	Aisle 6	Location 35
7	Aisle 13	Location 42
8	Aisle 1	Location 24
9	Aisle 15	Location 33
10	Aisle 0	Location 41
11	Aisle 16	Location 31
12	Aisle 11	Location 41
13	Aisle 1	Location 10
14	Aisle 2	Location 39
15	Aisle 1	Location 29
16	Aisle 6	Location 25
17	Aisle 19	Location 38
18	Aisle 4	Location 35
Order 17	number of articles 24
0	Aisle 8	Location 9
1	Aisle 9	Location 23
2	Aisle 1	Location 25
3	Aisle 4	Location 17
4	Aisle 14	Location 26
5	Aisle 16	Location 2
6	Aisle 13	Location 44
7	Aisle 11	Location 24
8	Aisle 10	Location 43
9	Aisle 13	Location 15
10	Aisle 18	Location 23
11	Aisle 11	Location 12
12	Aisle 11	Location 41
13	Aisle 13	Location 39
14	Aisle 18	Location 16
15	Aisle 13	Location 32
16	Aisle 4	Location 21
17	Aisle 7	Location 18
18	Aisle 6	Location 34
19	Aisle 8	Location 15
20	Aisle 6	Location 9
21	Aisle 14	Location 38
22	Aisle 16	Location 6
23	Aisle 15	Location 37
Order 18	number of articles 12
0	Aisle 2	Location 34
1	Aisle 12	Location 26
2	Aisle 6	Location 20
3	Aisle 12	Location 14
4	Aisle 11	Location 44
5	Aisle 2	Location 6
6	Aisle 7	Location 0
7	Aisle 15	Location 7
8	Aisle 16	Location 8
9	Aisle 7	Location 44
10	Aisle 2	Location 23
11	Aisle 1	Location 38
Order 19	number of articles 12
0	Aisle 7	Location 20
1	Aisle 6	Location 1
2	Aisle 18	Location 7
3	Aisle 15	Location 26
4	Aisle 8	Location 2
5	Aisle 4	Location 16
6	Aisle 17	Location 38
7	Aisle 5	Location 19
8	Aisle 16	Location 38
9	Aisle 3	Location 22
10	Aisle 13	Location 31
11	Aisle 11	Location 7
